"id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GO:0021522","spinal cord motor neuron differentiation",0.00398792972203468,14,0.792996037885819,0.839473081181447,1,154770,4,32,1.81881463802705,0.174544424771016,0.586625100161719
"GO:0021604","cranial nerve structural organization",0.00269139174217368,9,0.755363633046238,0.839664813845081,1,144831,2,13,2.23854109295637,0.223507987641826,0.628775555412844
"GO:0035630","bone mineralization involved in bone maturation",0.00216348000741383,7,0.730862420291293,0.841193585449419,1,192627,1,16,0.909407319013524,0.680089383486331,0.84214949272072
"GO:0030511","positive regulation of transforming growth factor beta receptor signaling pathway",0.0034806316438113,12,0.778777973794372,0.841340440593322,1,175096,4,31,1.8774860779634,0.160884431139236,0.579377642913756
"GO:1903846","positive regulation of cellular response to transforming growth factor beta stimulus",0.0034806316438113,12,0.778777973794372,0.841340440593322,1,175096,4,31,1.8774860779634,0.160884431139236,0.579377642913756
"GO:0051480","regulation of cytosolic calcium ion concentration",0.00676514913024597,25,0.834743627137585,0.841456391599534,1,317360,10,74,1.96628609516438,0.0295059545169118,0.375735761529175
"GO:0048754","branching morphogenesis of an epithelial tube",0.0283618993098357,115,0.91591043612827,0.841709745637854,1,168828,20,180,1.61672412269071,0.022859071291183,0.346658338889806
"GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",0.0186377321417061,74,0.896869245534188,0.841763348493869,1,280253,11,253,0.632631178444191,0.964968697047045,0.978876681659
"GO:0000398","mRNA splicing, via spliceosome",0.0186377321417061,74,0.896869245534188,0.841763348493869,1,280253,11,253,0.632631178444191,0.964968697047045,0.978876681659
"GO:0050775","positive regulation of dendrite morphogenesis",0.00849631338894732,32,0.850765623474028,0.841875561737825,1,205741,6,60,1.45505171042164,0.22903252580622,0.636186690950999
"GO:0043650","dicarboxylic acid biosynthetic process",0.00243425207055052,8,0.742360604826739,0.842097360439514,1,111454,2,20,1.45505171042164,0.403997619768798,0.71007440624806
"GO:0035384","thioester biosynthetic process",0.00348994717728533,12,0.776699222479471,0.843767678864186,1,61278,2,38,0.765816689695599,0.746088335640695,0.875405436228578
"GO:0071616","acyl-CoA biosynthetic process",0.00348994717728533,12,0.776699222479471,0.843767678864186,1,61278,2,38,0.765816689695599,0.746088335640695,0.875405436228578
"GO:0000375","RNA splicing, via transesterification reactions",0.0186603881732377,74,0.895780334750669,0.844392654815132,1,280253,11,254,0.630140504513308,0.966175202040895,0.979685279018586
"GO:0048536","spleen development",0.00653463814250698,24,0.829621839795406,0.84494134490427,1,78746,5,49,1.48474664328739,0.245310117613236,0.649347152433654
"GO:0099550","trans-synaptic signaling, modulating synaptic transmission",0.00270936692804282,9,0.750352203415845,0.844958372443232,1,64547,2,18,1.61672412269071,0.353715509282917,0.686489224423375
"GO:0009950","dorsal/ventral axis specification",0.00162937784547352,5,0.693168271410621,0.845806955533091,1,296742,2,13,2.23854109295637,0.223507987641826,0.628775555412844
"GO:0098732","macromolecule deacylation",0.00217949766081354,7,0.725491136283248,0.846389262211228,1,133983,3,33,1.32277428220149,0.397980912898147,0.71007440624806
"GO:0006813","potassium ion transport",0.0284178417457207,115,0.914107404733136,0.846988171664728,1,302334,22,226,1.41642201899452,0.0625302306316302,0.453438914853003
"GO:0072080","nephron tubule development",0.0162917519052889,64,0.887365754106762,0.84739994009026,1,252952,12,101,1.72877430941185,0.0440831667607565,0.413225714691663
"GO:0009914","hormone transport",0.0406512921093539,167,0.927967133760127,0.847424263176084,1,226124,40,379,1.53567462841334,0.00455389542552884,0.246438461357751
"GO:0010770","positive regulation of cell morphogenesis",0.00853359310678657,32,0.847048982430383,0.848135184463512,1,205741,6,62,1.40811455847255,0.252146938672834,0.653370464801399
"GO:0098815","modulation of excitatory postsynaptic potential",0.0100071077595139,38,0.857759423941834,0.848358570650459,1,201843,8,66,1.76369904293532,0.081805761684339,0.490015488637354
